path,kind,filename_score,read_status,fieldnames,row_count,slot_like_fields,pair_like_fields,route_like_fields,candidate_bridge
artifacts/json/g900_six_nine_boundary_orientation_probe_001.v1.json,json,1,json_read,answer;audit_pass;boundary;boundary_records_first_20;checks;created_utc;current_state;directed_records_first_20;endpoint_records_first_20;extracted_tokens;failed_checks;git_head;hashes;next_allowed_math_acts;orientation_reading;orientation_rows_first_40;orientation_signals;phase_step_records_first_20;question;row_counts;schema;source_counts;status;term_counts;verdict;version,,,,phase_step_records_first_20,True
artifacts/json/g900_six_nine_endpoint_chord_scope_audit_031.v1.json,json,1,json_read,artifact_kind_counts;audit_id;audit_pass;boundary;contrast_chord_row_count;contrast_rows_first_50;distinct_pair_count;endpoint_like_pair_row_count;key_counts_top_30;next_ascent_target;pair_counts;prior_029_origin_status;prior_029_verdict;prior_030_provenance_status;prior_030_verdict;reading;scope_status;target_chord_row_count;target_rows_first_50;theory_claim;verdict,,,distinct_pair_count;endpoint_like_pair_row_count;pair_counts,,True
artifacts/json/g900_six_nine_foundation_packet_origin_selector_008.v1.json,json,1,json_read,artifact_counts;audit_id;audit_pass;best_selector;boundary;candidate_row_count;contrast_row_count;contrast_rows_first_20;exact_selector_count;forbidden_foundation_fields_excluded_as_selectors;forbidden_leakage_fields_excluded;next_ascent_target;origin_status;prior_007_base_source_geometry_packet_hold_found;prior_007_branch_value_family_hold_found;prior_007_verdict;selector_status;selectors_first_30;target_artifact_counts;target_foundation_row_count;target_rows_first_20;theory_claim;verdict,,,,prior_007_base_source_geometry_packet_hold_found;prior_007_branch_value_family_hold_found,True
artifacts/json/g900_six_nine_from_limit_23_source_audit_001.v1.json,json,1,json_read,answer;audit_pass;best_source_candidate;boundary;candidate_groups;checks;created_utc;failed_checks;feature_rows;from23_row_profile;git_head;hashes;next_allowed_math_acts;pair_source_candidates_first_100;prior_state;question;schema;single_source_candidates;source_features_tested;source_status;status;target_feature_row;target_key;triple_source_candidates_first_100;verdict;version,,,pair_source_candidates_first_100,,True
artifacts/json/g900_six_nine_ladder_schema_guided_source_derivation_audit_004.v1.json,json,1,json_read,audit_id;audit_pass;best_order_rule;best_source_geometry_rule;boundary;broken_extracted_row_count;broken_ladder;derivation_status;exact_rule_count;exact_rules_first_30;forbidden_fields_excluded_as_selector_features;micro_003;micro_broken_ladder_occurrence_count;micro_target_clean_ladder_occurrence_count;mixed_rule_count;next_ascent_target;no_leaky_features_used;normalized_branch_row_count;normalized_rows;order_hold_found;order_rule_count;order_rules_first_20;prior_002;row_source;source_geometry_hold_found;source_geometry_rule_count;source_geometry_rules_first_20;target_extracted_row_count;target_ladder;theory_claim;uses_fallback;verdict,,,,order_hold_found;source_geometry_hold_found,True
artifacts/json/g900_six_nine_ladder_schema_microscope_003.v1.json,json,1,json_read,audit_id;audit_pass;boundary;broken_ladder;broken_ladder_occurrence_count;next_step;prior;prior_branch_row_count;prior_exists;prior_label_counts;prior_ladder_counts;prior_row_summary;source;source_exists;source_hits;source_kind_counts;source_ladder_occurrence_count;target_clean_ladder;target_clean_ladder_occurrence_count;theory_claim;verdict,,,,next_step,True
artifacts/json/g900_six_nine_limit_transition_23_24_boundary_probe_001.v1.json,json,1,json_read,answer;audit_pass;best_source_candidate;boundary;checks;created_utc;failed_checks;feature_rows;git_head;hashes;limit_transition_summary;next_allowed_math_acts;pair_source_candidates_first_120;prior_state;probe_status;question;schema;single_source_candidates;source_features_tested;status;target_feature_row;target_key;triple_source_candidates_first_120;verdict;version,,,pair_source_candidates_first_120,,True
artifacts/json/g900_six_nine_native_anchor_asymmetry_audit_001.v1.json,json,1,json_read,absent_selectors;asymmetry_status;audit_pass;boundary;branches;checks;counts;created_utc;failed_checks;feature_boundary;git_head;hashes;interpretation_boundary;next_allowed_math_acts;preferred_receipt_holds;question;reading;receipt_selectors;schema;solid_hold_summary;status;verdict;version,,,,preferred_receipt_holds;solid_hold_summary,True
artifacts/json/g900_six_nine_orientation_law_candidate_001.v1.json,json,1,json_read,answer;audit_pass;best_candidate;boundary;checks;created_utc;direct_label_exact_selectors;failed_checks;feature_groups_for_best_candidate;feature_rows;git_head;hashes;law_status;next_allowed_math_acts;orientation_pair_exact_selectors_first_80;orientation_single_exact_selectors;prior_state;question;schema;status;strong_orientation_pair_exact_selectors_first_80;strong_orientation_single_exact_selectors;support_circular_exact_selectors;target_feature_row;target_key;verdict;version,,,orientation_pair_exact_selectors_first_80;strong_orientation_pair_exact_selectors_first_80,,True
artifacts/json/g900_six_nine_orientation_provenance_nonlabel_audit_001.v1.json,json,1,json_read,allowed_pair_selectors_first_80;allowed_single_selectors;allowed_triple_selectors_first_80;answer;audit_pass;best_nonlabel_candidate;best_nonlabel_candidate_class;blocked_label_single_selectors;blocked_support_single_selectors;boundary;candidate_feature_groups;checks;created_utc;failed_checks;feature_classes;feature_rows;git_head;hashes;next_allowed_math_acts;nonlabel_status;prior_state;question;schema;status;target_feature_row;target_key;verdict;version,,,allowed_pair_selectors_first_80,,True
