path,candidate_transport,has_transport,has_information,has_return_cell,has_receipt,has_admitted
artifacts/json/g900-six-nine-ladder-3-6-9-12-source-provenance-audit-002.v1.json,False,True,False,False,True,True
artifacts/json/g900_0309_vs_0609_2324_fork_audit_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_all_phase_ladder_spectrum_audit_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_anomaly_marker_event_gate_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_body_id_census_v0.1.json,False,False,False,False,True,False
artifacts/json/g900_boundary_trace_physics_frontier_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_carrier_family_render_selector_v0.1.json,False,False,False,False,False,False
artifacts/json/g900_carrier_layer_renumbering_v0.1.json,False,False,False,False,True,False
artifacts/json/g900_channel_admission_readiness_receipt_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_channel_admission_recheck_after_local_law_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_channel_admission_recheck_after_render_contract_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_channel_admission_recheck_after_semantics_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_channel_candidate_classifier_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_channel_render_contract_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_channel_scaffold_v0.1.json,False,False,False,False,False,False
artifacts/json/g900_channel_semantics_contract_001.v1.json,True,True,True,True,True,True
artifacts/json/g900_channel_source_inventory_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_channels_pre_explicit_admission_backup_001.v1.json,False,False,False,False,False,False
artifacts/json/g900_count_signature_class_anatomy_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_distinct_ladder_nonanswer_comparison_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_edge_limit_phase_scan_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_edge_overlap_candidate_inspection_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_edge_shape_inspect_v0.1.json,False,False,False,False,False,False
artifacts/json/g900_edge_tuple_census_v0.1.json,False,False,False,False,True,False
artifacts/json/g900_endpoint_incidence_g15_skeleton_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_endpoint_incidence_orientation_frontier_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_endpoint_incidence_source_reconstruction_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_expanded_layer_ladder_v0.1.json,False,False,False,False,True,True
artifacts/json/g900_explicit_return_cell_channel_admission_001.v1.json,False,False,False,True,True,True
artifacts/json/g900_finite_boundary_type_ledger_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_first_smoke_rail_v0.1.json,False,False,False,False,True,False
artifacts/json/g900_full60_endpoint_pair_hit_inspection_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_full60_hit_component_taxonomy_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_full60_hit_pair_g15_subgraph_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_full60_package_support_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_full60_path_position_package_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_full60_phase_support_classification_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_full60_transition_package_anatomy_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_g15_cube_assignment_from_adjacency_probe_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_g15_cube_focused_schema_extractor_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_g15_cube_label_assignment_probe_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_g15_cube_label_source_search_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_g15_cube_orientation_provenance_probe_001.v1.json,False,True,False,True,True,True
artifacts/json/g900_g15_cube_six_nine_hypothesis_probe_001.v1.json,False,True,False,False,True,True
artifacts/json/g900_g60_plus30_antipodal_wrap_audit_001.v1.json,False,True,False,False,False,False
artifacts/json/g900_g60_true_antipode_sheet_wrap_probe_001.v1.json,False,True,False,False,False,True
artifacts/json/g900_global_local_return_cell_oriented_census_001.v1.json,False,False,False,True,False,True
artifacts/json/g900_global_return_cell_label_free_selector_audit_001.v1.json,False,False,False,True,False,True
artifacts/json/g900_hit_forest_root_endpoint_rule_scope_audit_001.v1.json,False,False,False,False,False,True
artifacts/json/g900_ladder_nearest_anchor_condition_audit_001.v1.json,False,True,False,False,True,False
artifacts/json/g900_layer3_channel_frontier_ledger_001.v1.json,False,False,False,False,True,True
artifacts/json/g900_live_stage_marker_renderer_admission_001.v1.json,False,False,False,True,False,True
