transport_path,read_status,rowlike_record_count,from_slot_set,to_slot_set,has_from_slot,has_to_slot,has_vertex_fields,has_edge_ids,has_home_candidate,metric_constructible
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,json_read,24,3 6 9,12 13 9,True,True,True,True,True,True
artifacts/json/g900_return_cell_carrier_incidence_packet_scout_002.v1.json,json_read,4,3 6 9,12 13 9,True,True,True,True,True,True
artifacts/json/g900_return_cell_conserved_packet_scout_001.v1.json,json_read,4,3 6 9,12 13 9,True,True,True,True,True,True
artifacts/json/g900_channel_semantics_contract_001.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_return_cell_bounded_information_transport_admission_007.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_return_cell_channel_admission_gate_audit_004.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_return_cell_information_flux_witness_010.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_return_cell_permission_channel_admission_005.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_return_cell_transport_checkpoint_009.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_return_cell_transport_theorem_note_011.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_census_phase_checkpoint_017.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_choice_apparatus_theorem_note_032.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_choice_construction_context_family_census_034.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_choice_f0001_generator_definition_flag_056.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_choice_f0001_return_hub_seam_source_probe_054.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_deferred_candidate_gate_audit_020.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_deferred_frontier_symmetry_census_019.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_deferred_gate_frontier_full_audit_018b.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_deferred_gate_frontier_worklist_018a.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_family_status_question_012.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_frontier_choice_apparatus_protocol_027.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_frontier_choice_variable_inventory_028.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_ledger_static_snapshot_008e.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_permission_gate_family_filter_016.v1.json,json_read,0,,,False,False,False,False,False,False
artifacts/json/g900_transport_permission_sharpness_audit_021.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_discrete_information_transport_contract_001.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_return_cell_bounded_information_transport_admission_007.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_return_cell_channel_admission_gate_audit_004.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_return_cell_information_flux_witness_010.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_return_cell_permission_channel_admission_005.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_return_cell_transport_checkpoint_009.v1.json,json_read,0,,,False,False,False,False,False,False
receipts/g900_return_cell_transport_theorem_note_011.v1.json,json_read,0,,,False,False,False,False,False,False
